t (s) 	m_dot_g_surf (kg/m²/s)	m_dot_c (kg/m²/s)	< 98 % Virgin	> 1.02 % Char	Total recession (m)
35.9	0.0132895	0.0446628	0.0131513	0.00702467	0.00700662
36	0.0132846	0.0446637	0.0131766	0.00704478	0.00702673
36.1	0.0132798	0.0446646	0.0132018	0.00706488	0.00704684
36.2	0.0132751	0.0446654	0.013227	0.00708499	0.00706696
36.3	0.0132775	0.0446648	0.0132529	0.00710509	0.00708708
36.4	0.0132655	0.0446672	0.0132787	0.0071252	0.00710719
36.5	0.0132608	0.044668	0.0133044	0.00714531	0.00712731
36.6	0.0132562	0.0446688	0.01333	0.00716542	0.00714742
36.7	0.0132515	0.0446697	0.0133555	0.00718552	0.00716754
36.8	0.013254	0.0446691	0.0133809	0.00720563	0.00718766
36.9	0.0132423	0.0446714	0.0134062	0.00722574	0.00720778
37	0.0132376	0.0446722	0.0134313	0.00724585	0.0072279
37.1	0.0132331	0.044673	0.0134564	0.00726596	0.00724802
37.2	0.0132285	0.0446738	0.0134813	0.00728607	0.00726814
37.3	0.0132311	0.0446732	0.013507	0.00730618	0.00728826
37.4	0.0132194	0.0446755	0.0135327	0.00732629	0.00730838
37.5	0.0132149	0.0446763	0.0135582	0.00734641	0.0073285
37.6	0.0132105	0.0446771	0.0135837	0.00736652	0.00734862
37.7	0.013206	0.0446779	0.013609	0.00738663	0.00736874
37.8	0.0132086	0.0446773	0.0136343	0.00740674	0.00738886
37.9	0.0131972	0.0446795	0.0136594	0.00742686	0.00740899
38	0.0131928	0.0446803	0.0136844	0.00744697	0.00742911
38.1	0.0131885	0.0446811	0.0137094	0.00746709	0.00744923
38.2	0.0131842	0.0446819	0.0137342	0.0074872	0.00746936
38.3	0.0131869	0.0446812	0.0137594	0.00750732	0.00748948
38.4	0.0131755	0.0446835	0.013785	0.00752743	0.00750961
38.5	0.0131712	0.0446842	0.0138104	0.00754755	0.00752973
38.6	0.013167	0.044685	0.0138357	0.00756767	0.00754986
38.7	0.0131628	0.0446858	0.0138609	0.00758778	0.00756998
38.8	0.0131656	0.0446851	0.0138861	0.0076079	0.00759011
38.9	0.0131543	0.0446873	0.0139111	0.00762802	0.00761024
39	0.0131501	0.0446881	0.013936	0.00764814	0.00763037
39.1	0.013146	0.0446888	0.0139609	0.00766826	0.00765049
39.2	0.0131419	0.0446896	0.0139856	0.00768837	0.00767062
39.3	0.0131447	0.0446889	0.0140102	0.00770849	0.00769075
39.4	0.0131336	0.0446911	0.0140356	0.00772861	0.00771088
39.5	0.0131295	0.0446918	0.014061	0.00774873	0.00773101
39.6	0.0131255	0.0446925	0.0140862	0.00776886	0.00775114
39.7	0.0131215	0.0446933	0.0141113	0.00778898	0.00777127
39.8	0.0131244	0.0446926	0.0141364	0.0078091	0.0077914
39.9	0.0131135	0.0446947	0.0141613	0.00782922	0.00781153
40	0.0131095	0.0446955	0.0141861	0.00784934	0.00783166
40.1	0.0131055	0.0446962	0.0142109	0.00786946	0.0078518
40.2	0.0131016	0.0446969	0.0142355	0.00788959	0.00787193
40.3	0.0131045	0.0446962	0.0142601	0.00790971	0.00789206
40.4	0.0130937	0.0446983	0.0142848	0.00792983	0.00791219
40.5	0.0130898	0.044699	0.01431	0.00794996	0.00793233
