p (bar)	B'g	Temp (K)	B'c	Hw (kJ/kg)
1.01325D-03	2.00000D-02	2.67500E+03	1.90035E-01	2.52763E+03
1.01325D-03	2.00000D-02	2.70000E+03	1.95884E-01	2.70677E+03
1.01325D-03	2.00000D-02	2.72500E+03	2.03741E-01	2.92942E+03
1.01325D-03	2.00000D-02	2.75000E+03	2.14298E-01	3.20883E+03
1.01325D-03	2.00000D-02	2.77500E+03	2.28500E-01	3.56184E+03
1.01325D-03	2.00000D-02	2.80000E+03	2.47651E-01	4.00970E+03
1.01325D-03	2.00000D-02	2.82500E+03	2.73579E-01	4.57890E+03
1.01325D-03	2.00000D-02	2.85000E+03	3.08906E-01	5.30213E+03
1.01325D-03	2.00000D-02	2.87500E+03	3.57498E-01	6.21908E+03
1.01325D-03	2.00000D-02	2.90000E+03	4.25279E-01	7.37695E+03
1.01325D-03	2.00000D-02	2.92500E+03	5.21793E-01	8.83047E+03
1.01325D-03	2.00000D-02	2.95000E+03	6.63444E-01	1.06408E+04
1.01325D-03	2.00000D-02	2.97500E+03	8.81047E-01	1.28727E+04
1.01325D-03	2.00000D-02	3.00000E+03	1.24013E+00	1.55889E+04
1.01325D-03	2.00000D-02	3.02500E+03	1.90894E+00	1.88400E+04
1.01325D-03	2.00000D-02	3.05000E+03	3.48742E+00	2.26446E+04
1.01325D-03	2.00000D-02	3.07500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.10000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.12500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.15000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.17500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.20000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.22500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.25000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.27500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.30000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.32500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.35000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.37500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.40000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.42500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.45000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.47500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.50000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.52500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.55000E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.57500E+03	1.07512E+01	2.69292E+04
1.01325D-03	2.00000D-02	3.60000E+03	1.07512E+01	2.69292E+04
