p (Pa)	B'g	B'c	Temp (K)	hw (J/kg)
1.01325E+05	2.00000E+00	0.00000E+00	2.05000E+03	3.11189E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.00000E+03	2.95575E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.95000E+03	2.80079E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.90000E+03	2.64560E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.85000E+03	2.48836E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.80000E+03	2.32653E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.75000E+03	2.15627E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.70000E+03	1.97171E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.65000E+03	1.76368E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.60000E+03	1.51889E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.55000E+03	1.22410E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.50000E+03	8.83364E+05
1.01325E+05	2.00000E+00	0.00000E+00	1.45000E+03	5.27366E+05
1.01325E+05	2.00000E+00	0.00000E+00	1.40000E+03	1.87697E+05
1.01325E+05	2.00000E+00	0.00000E+00	1.35000E+03	-1.17897E+05
1.01325E+05	2.00000E+00	0.00000E+00	1.30000E+03	-3.72473E+05
1.01325E+05	2.00000E+00	0.00000E+00	1.25000E+03	-5.64568E+05
1.01325E+05	2.00000E+00	0.00000E+00	1.20000E+03	-7.16825E+05
1.01325E+05	2.00000E+00	0.00000E+00	1.15000E+03	-8.56104E+05
1.01325E+05	2.00000E+00	0.00000E+00	1.10000E+03	-9.99184E+05
1.01325E+05	2.00000E+00	0.00000E+00	1.05000E+03	-1.17372E+06
1.01325E+05	2.00000E+00	0.00000E+00	1.00000E+03	-1.44901E+06
1.01325E+05	2.00000E+00	0.00000E+00	9.50000E+02	-1.92458E+06
1.01325E+05	2.00000E+00	0.00000E+00	9.00000E+02	-2.60428E+06
1.01325E+05	2.00000E+00	0.00000E+00	8.50000E+02	-3.34676E+06
1.01325E+05	2.00000E+00	0.00000E+00	8.00000E+02	-3.99068E+06
1.01325E+05	2.00000E+00	0.00000E+00	7.50000E+02	-4.46307E+06
1.01325E+05	2.00000E+00	0.00000E+00	7.00000E+02	-4.78008E+06
1.01325E+05	2.00000E+00	0.00000E+00	6.50000E+02	-4.99471E+06
1.01325E+05	2.00000E+00	0.00000E+00	6.00000E+02	-5.15109E+06
1.01325E+05	2.00000E+00	0.00000E+00	5.50000E+02	-5.27399E+06
1.01325E+05	2.00000E+00	0.00000E+00	5.00000E+02	-5.37663E+06
1.01325E+05	2.00000E+00	0.00000E+00	4.50000E+02	-5.46679E+06
1.01325E+05	2.00000E+00	0.00000E+00	4.00000E+02	-5.54914E+06
1.01325E+05	2.00000E+00	0.00000E+00	3.50000E+02	-5.62631E+06
1.01325E+05	2.00000E+00	0.00000E+00	3.00000E+02	-5.69971E+06
1.01325E+05	2.00000E+00	0.00000E+00	2.50000E+02	-5.77023E+06
p (Pa)	B'g	B'c	Temp (K)	hw (J/kg)
1.01325E+05	1.50000E+00	1.70869E+01	3.90000E+03	2.92576E+07
1.01325E+05	1.50000E+00	8.46478E+00	3.85000E+03	2.87701E+07
1.01325E+05	1.50000E+00	5.04961E+00	3.80000E+03	2.79020E+07
1.01325E+05	1.50000E+00	3.30857E+00	3.75000E+03	2.67058E+07
1.01325E+05	1.50000E+00	2.29883E+00	3.70000E+03	2.52566E+07
1.01325E+05	1.50000E+00	1.66583E+00	3.65000E+03	2.36422E+07
1.01325E+05	1.50000E+00	1.24780E+00	3.60000E+03	2.19485E+07
1.01325E+05	1.50000E+00	9.60991E-01	3.55000E+03	2.02483E+07
1.01325E+05	1.50000E+00	7.58060E-01	3.50000E+03	1.85964E+07
1.01325E+05	1.50000E+00	6.10462E-01	3.45000E+03	1.70299E+07
1.01325E+05	1.50000E+00	5.00161E-01	3.40000E+03	1.55714E+07
1.01325E+05	1.50000E+00	4.15372E-01	3.35000E+03	1.42321E+07
1.01325E+05	1.50000E+00	3.48226E-01	3.30000E+03	1.30156E+07
1.01325E+05	1.50000E+00	2.93401E-01	3.25000E+03	1.19192E+07
1.01325E+05	1.50000E+00	2.47280E-01	3.20000E+03	1.09361E+07
1.01325E+05	1.50000E+00	2.07416E-01	3.15000E+03	1.00565E+07
1.01325E+05	1.50000E+00	1.72163E-01	3.10000E+03	9.26958E+06
1.01325E+05	1.50000E+00	1.40429E-01	3.05000E+03	8.56393E+06
1.01325E+05	1.50000E+00	1.11500E-01	3.00000E+03	7.92881E+06
1.01325E+05	1.50000E+00	8.49150E-02	2.95000E+03	7.35457E+06
1.01325E+05	1.50000E+00	6.03812E-02	2.90000E+03	6.83288E+06
1.01325E+05	1.50000E+00	3.77106E-02	2.85000E+03	6.35674E+06
1.01325E+05	1.50000E+00	1.67799E-02	2.80000E+03	5.92034E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.75000E+03	5.52754E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.70000E+03	5.22068E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.65000E+03	4.93994E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.60000E+03	4.68168E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.55000E+03	4.44280E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.50000E+03	4.22065E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.45000E+03	4.01292E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.40000E+03	3.81760E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.35000E+03	3.63292E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.30000E+03	3.45732E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.25000E+03	3.28942E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.20000E+03	3.12799E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.15000E+03	2.97191E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.10000E+03	2.82017E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.05000E+03	2.67182E+06
1.01325E+05	1.50000E+00	0.00000E+00	2.00000E+03	2.52592E+06
1.01325E+05	1.50000E+00	0.00000E+00	1.95000E+03	2.38148E+06
1.01325E+05	1.50000E+00	0.00000E+00	1.90000E+03	2.23738E+06
1.01325E+05	1.50000E+00	0.00000E+00	1.85000E+03	2.09221E+06
1.01325E+05	1.50000E+00	0.00000E+00	1.80000E+03	1.94403E+06
1.01325E+05	1.50000E+00	0.00000E+00	1.75000E+03	1.79004E+06
